,"工業生產指數(年增率)"
,,,,,,,,,,,,,,,,,,,"單位：基期=105年"
"統計期","總指數","年增率(%)","總指數(不含土石採取業)","年增率(%)","礦業及土石採取業","年增率(%)","製造業","年增率(%)","金屬機電工業","年增率(%)","資訊電子工業","年增率(%)","化學工業","年增率(%)","民生工業","年增率(%)","電力及燃氣供應業","年增率(%)","用水供應業","年增率(%)",
"110年11月","137.05","11.53","137.06","11.58","117.33","3.51","140.18","12.34","116.15","9.89","175.07","17.17","101.93","2.67","113.78","7.86","103.95","2.51","97.99","-5.25",
"110年12月","140.78","8.69","140.79","8.73","122.96","1.92","144.10","9.17","120.27","0.86","179.73","15.69","104.60","2.55","116.50","3.12","105.14","3.84","103.48","-3.25",
"111年","132.93","0.93","132.95","0.93","109.66","-0.99","135.11","0.93","106.86","-6.09","174.79","7.17","95.59","-6.42","104.62","-4.73","110.25","0.79","102.22","1.74",
"111年1月","137.13","8.54","137.17","8.61","112.06","-8.17","140.34","9.07","111.64","-0.63","177.88","17.05","104.51","1.44","111.10","1.70","101.40","1.02","104.85","0.63",
"111年2月","116.93","9.49","116.99","9.55","83.15","-13.79","119.18","9.63","92.69","3.43","155.26","15.91","88.38","2.84","83.52","-0.02","93.24","9.15","90.68","-3.00",
"111年3月","140.02","2.88","140.04","2.89","117.52","-3.37","143.10","2.72","122.96","2.48","179.14","6.02","99.41","-6.40","115.35","0.96","106.58","5.02","99.55","-2.20",
"111年4月","131.56","6.41","131.57","6.45","109.09","-8.30","133.98","6.54","109.69","-1.92","169.22","14.45","100.59","0.57","99.48","-6.56","106.13","5.41","96.53","1.39",
"111年5月","134.91","4.19","134.96","4.23","103.62","-8.95","137.03","4.81","111.49","-3.58","171.67","12.16","106.56","0.72","101.52","-8.75","113.82","-2.90","100.01","1.34",
"111年6月","135.97","0.67","136.01","0.66","105.88","4.59","137.75","0.47","110.65","-4.73","175.78","4.86","102.91","-0.69","101.23","-10.30","119.36","3.76","100.25","2.78",
"111年7月","136.74","1.75","136.76","1.74","112.51","4.13","137.84","1.73","108.01","-9.17","178.31","10.82","97.54","-8.82","109.01","-3.68","128.16","3.02","109.07","4.22",
"111年8月","140.79","3.11","140.81","3.07","114.05","13.14","142.57","3.27","106.22","-8.87","191.04","13.44","94.17","-10.79","113.10","-0.50","123.78","1.00","109.60","4.77",
"111年9月","132.33","-4.63","132.34","-4.65","110.73","7.67","134.18","-4.69","101.85","-10.34","178.90","-0.08","89.63","-11.68","103.69","-5.44","113.51","-4.69","105.23","3.98",
"111年10月","129.73","-4.33","129.71","-4.37","110.77","7.47","131.59","-4.27","100.68","-12.02","174.01","1.99","89.57","-11.03","102.03","-9.95","110.38","-5.93","105.37","2.51",
"111年11月","129.51","-5.50","129.49","-5.52","113.78","-3.03","131.89","-5.91","103.39","-10.99","174.49","-0.33","84.52","-17.08","106.83","-6.11","103.73","-0.21","99.06","1.09",
"111年12月","129.52","-8.00","129.49","-8.03","122.75","-0.17","131.89","-8.47","103.08","-14.29","171.79","-4.42","89.25","-14.67","108.59","-6.79","102.90","-2.13","106.38","2.80",

註解：
由於限於各電腦系統之浮點數（floating point）的表達方式與計算確度差異，部分透過計算所得的統計量（如年增率）容或有計算誤差，或與他系統所計算之結果有尾差情形。

 
